species,inat_taxon_id,inat_name,inat_research_grade_obs,inat_total_photos,inat_photo_total_method,inat_sec_per_species,inat_error,gbif_key,gbif_human_obs,gbif_specimen_obs,gbif_photos,gbif_specimen_photos,combined_obs,combined_obs_specimens,combined_photos,combined_photos_specimens,family,species_binom,family_trait,genus,species_trait,hair_dimorphism,natal_coat,natal_coat_type,hair_dichromatism_any,hair_dichromatism_complete,hair_dichromatism_state,hair_dichromatism_type,ontogenetic_trajectory_color,type,key
Alouatta seniculus,566513.0,Alouatta seniculus,1924,2659,exact,12.66,,2436648.0,1224.0,198.0,2454.0,390.0,3148.0,3346.0,5113.0,5503.0,Atelidae,Alouatta seniculus,cebidae,alouatta,seniculus,0,0,,0,0,0,,mono_stable,additional,Alouatta seniculus
Aotus nigriceps,43414.0,Aotus nigriceps,95,151,exact,1.64,,5219595.0,57.0,30.0,94.0,58.0,152.0,182.0,245.0,303.0,Aotidae,Aotus nigriceps,cebidae,aotus,nigriceps,0,0,,0,0,0,,mono_stable,additional,Aotus nigriceps
Aotus trivirgatus,43413.0,Aotus trivirgatus,2,2,exact,0.37,,5219590.0,1.0,257.0,1.0,550.0,3.0,260.0,3.0,553.0,Aotidae,Aotus trivirgatus,cebidae,aotus,trivirgatus,0,0,,0,0,0,,mono_stable,additional,Aotus trivirgatus
Arctocebus aureus,43625.0,Arctocebus aureus,3,8,exact,3.25,,2436631.0,3.0,2.0,8.0,13.0,6.0,8.0,16.0,29.0,Lorisidae,Arctocebus aureus,loridae,arctocebus,aureus,0,0,,0,0,0,,mono_stable,additional,Arctocebus aureus
Arctocebus calabarensis,43624.0,Arctocebus calabarensis,1,1,exact,1.65,,2436632.0,1.0,11.0,1.0,38.0,2.0,13.0,2.0,40.0,Lorisidae,Arctocebus calabarensis,loridae,arctocebus,calabarensis,0,0,,0,0,0,,mono_stable,additional,Arctocebus calabarensis
Ateles belzebuth,43406.0,Ateles belzebuth,176,330,exact,3.65,,2436642.0,113.0,46.0,210.0,88.0,289.0,335.0,540.0,628.0,Atelidae,Ateles belzebuth,cebidae,ateles,belzebuth,0,0,,0,0,0,,mono_stable,additional,Ateles belzebuth
Ateles chamek,43410.0,Ateles chamek,412,707,exact,4.14,,2436646.0,212.0,10.0,363.0,20.0,624.0,634.0,1070.0,1090.0,Atelidae,Ateles chamek,cebidae,ateles,chamek,0,0,,0,0,0,,mono_stable,additional,Ateles chamek
Ateles fusciceps,43409.0,Ateles fusciceps,133,218,exact,2.88,,2436641.0,72.0,62.0,125.0,186.0,205.0,267.0,343.0,529.0,Atelidae,Ateles fusciceps,cebidae,ateles,fusciceps,0,0,,0,0,0,,mono_stable,additional,Ateles fusciceps
Ateles geoffroyi,43411.0,Ateles geoffroyi,7107,13539,estimate,3.98,,2436643.0,4737.0,249.0,9450.0,593.0,11844.0,12093.0,22989.0,23582.0,Atelidae,Ateles geoffroyi,cebidae,ateles,geoffroyi,0,0,,0,0,0,partial,mono_stable,additional,Ateles geoffroyi
Ateles marginatus,43407.0,Ateles marginatus,176,351,exact,4.65,,2436644.0,102.0,8.0,173.0,13.0,278.0,286.0,524.0,537.0,Atelidae,Ateles marginatus,cebidae,ateles,marginatus,0,0,,0,0,0,,mono_stable,additional,Ateles marginatus
Ateles paniscus,43408.0,Ateles paniscus,151,257,exact,2.42,,2436645.0,105.0,30.0,194.0,113.0,256.0,286.0,451.0,564.0,Atelidae,Ateles paniscus,cebidae,ateles,paniscus,0,0,,0,0,0,,mono_stable,additional,Ateles paniscus
Avahi laniger,43606.0,Avahi laniger,156,216,exact,2.55,,2436426.0,99.0,15.0,144.0,32.0,255.0,270.0,360.0,392.0,Indriidae,Avahi laniger,indridae,avahi,laniger,0,0,,0,0,0,,mono_stable,additional,Avahi laniger
Brachyteles arachnoides,43404.0,Brachyteles arachnoides,191,343,exact,4.52,,2436666.0,52.0,9.0,133.0,25.0,243.0,252.0,476.0,501.0,Atelidae,Brachyteles arachnoides,cebidae,brachyteles,arachnoides,0,0,,0,0,0,,mono_stable,additional,Brachyteles arachnoides
Cacajao calvus,43654.0,Cacajao calvus,32,40,exact,1.33,,2436410.0,16.0,23.0,18.0,46.0,48.0,71.0,58.0,104.0,Pitheciidae,Cacajao calvus,cebidae,cacajao,calvus,0,0,,0,0,0,,mono_stable,additional,Cacajao calvus
